sys_data_source_nm,sys_data_schema_nm,sys_data_source_table_nm,sys_insert_date,sys_insert_owner_corp_id,player_name,country_name,club,position
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Nabil Dirar,Morroco,Fenerbahce,DEF
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Achraf Hakimi,Morroco,Real Madrid,DEF
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Hamza Mendyl,Morroco,Lille,DEF
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Mbark Boussoufa,Morroco,Al Jazira,MID
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Karim El Ahmadi,Morroco,Feyenoord,MID
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Youssef Ait Bennasser,Morroco,Caen,MID
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Sofyan Amrabat,Morroco,Feyenoord,MID
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Younes Belhanda,Morroco,Galatasaray,MID
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Faycal Fajr,Morroco,Getafe,MID
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Amine Harit,Morroco,Schalke 04,MID
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Khalid Boutaib,Morroco,Malatyaspor,ATT
https://github.com/rajataudichya/,https://github.com/rajataudichya/fifaworldcup2018squads,FIFA_World_Cup_Squads,2018-06-22 06:21:54.668000000,a620308,Aziz Bouhaddouz,Morroco,Saint Pauli,ATT
